Xpos,Ypos,CYR61,NGFR,LOXL2,GAPDH
897.933889816361,1069.31619365609,0,4,3,123
918.261733371725,1366.56032248776,0,0,7,94
986.167564655172,1290.78771551724,1,0,9,141
1025.31952157198,1195.26612558736,0,0,1,148
1045.04849954532,1591.71870263716,0,0,2,71
1096.49823618344,1475.37779270956,0,0,2,127
1088.63397849462,1007.50408602151,0,0,5,94
1102.9500895828,1349.02713079089,0,0,11,193
1106.53353396389,1129.27214101462,0,0,5,172
1138.45242718447,1593.88673139159,0,0,4,96
1148.8179245283,1209.80534591195,0,0,12,233
1194.16624040921,1259.23273657289,1,0,22,299
1191.5092097445,1469.21122994652,2,0,3,128
1200.15810768752,1058.87924058512,1,0,16,356
1285.55917667238,1536.93339050886,0,0,0,67
1357.79425695678,1199.49659561871,2,0,36,597
1328.94214372716,1843.91352009744,1,0,0,97
1427.20784103115,983.856605800215,1,0,4,328
1434.00244299674,1327.02687296417,0,0,3,249
1452.30706075534,1172.08483853311,1,0,12,251
