Xpos,Ypos,TMS,C1S,VCL,GAPDH
27351.0025454545,678.520727272727,261,4,19,930
27420.6828278926,860.042688815917,463,6,42,1242
27446.9661733615,98.7407505285412,138,4,7,678
27483.5809352518,428.09928057554,219,1,10,808
27607.7188284519,435.312970711297,213,3,4,797
27627.9279023559,297.622196991201,167,3,8,747
27726.1392031481,114.769798327595,64,2,4,460
27773.9994279176,788.004576659039,146,4,12,722
27849.4839769926,286.743221035333,159,0,2,449
27894.2121876904,568.379524680073,309,2,65,1163
27937.9626004893,412.558895491087,165,1,11,576
27953.1805685723,734.293658231803,145,4,15,773
28062.6171371966,310.992570579495,127,5,6,418
28077.0525040388,1360.43457189015,212,2,8,451
28084.8780487805,44.0731707317073,65,2,3,581
28168.0991038482,106.106483921982,72,0,3,471
28181.015625,301.293526785714,92,1,2,385
28188.4776315789,442.498684210526,135,4,4,548
28205.7465659341,642.550595238095,353,3,28,1007
28402.434515689,501.148021828104,172,3,24,696
28441.6916232639,295.830512152778,73,0,11,707
28498.4872881356,907.332627118644,283,7,10,913
28590.7467411546,411.997517070143,79,0,5,459
28622.370631839,650.11471937875,92,4,18,514
28621.0139453806,206.587449157467,63,1,1,399
28721.5138171488,845.236957644628,121,10,11,935
28696.1883087907,448.644801427934,82,5,5,307
28827.5307377049,10.2445355191257,29,0,1,212
28833.8076015109,241.844192634561,130,8,13,616
28873.1943900848,370.221135029354,58,4,2,245
28885.9120768065,431.458817584639,84,7,3,254
28969.1110223642,29.3817891373802,75,1,4,329
28981.7961476726,504.571428571429,120,7,3,352
29004.0882061447,717.621407333994,67,7,5,312
29017.5159976731,637.239674229203,80,4,8,261
29063.6180707115,393.556089044086,164,0,7,476
29067.1545209177,76.636302294197,72,3,1,371
29074.481215028,583.447641886491,28,4,3,99
29140.1726541555,300.167292225201,120,1,8,333
29154.9170394469,179.210654737698,115,1,1,434
29267.7556352459,264.397540983607,175,4,1,444
29325.2909346451,633.653197470133,132,5,12,418
29331.4893797791,855.472812234494,134,4,16,541
29489.7466628799,319.539051405851,134,3,3,484
29482.9887121601,545.555669574141,138,7,2,434
