Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH
807.982395713739,1812.01530807501,4,19,17,236
941.921433743664,1010.26828385228,10,61,26,374
966.624653312789,1807.11987673344,4,22,18,352
1286.44975369458,1677.97093596059,4,13,1,206
1463.84085829236,1662.34108180599,2,28,10,312
2231.47368421053,1113.92995647012,5,30,1,374
2241.02373685995,1851.56391997287,7,22,35,123
2293.14755610206,1019.05441131263,0,44,24,313
2388.05205678922,1160.62941390608,10,106,13,410
2490.49936916477,1690.86045924804,7,69,16,450
3234.24783204016,1839.40164308535,1,0,2,236
3433.73449612403,1272.58798449612,2,0,21,357
3452.29974424552,1066.42557544757,7,0,35,418
3472.28842380641,1152.37050359712,4,0,31,484
3566.14598786244,1845.11362103844,7,0,16,356
3627.62563580875,1601.5981688708,6,3,39,621
3816.1753540223,1176.59927689063,5,22,21,340
3864.68700192361,1463.09727947238,3,46,11,280
3968.67189542484,1752.94477124183,9,25,11,373
3962.72615092549,970.079734219269,7,42,4,237
4087.44813278008,1446.61189488243,15,102,24,463
4247.07595898215,1264.52335738701,5,50,19,400
4314.25015752993,1520.52520478891,7,55,39,331
4376.4848265896,1106.19147398844,9,47,34,470
4461.73935983116,1593.87302145621,6,58,31,226
4539.70688059241,1417.94600431965,7,85,58,533
4635.27542198436,1199.98229724166,4,94,1,490
4754.73733697301,1314.29693660904,6,45,16,549
5143.33076211046,1313.59549521753,12,64,16,595
5145.83791790097,1872.36775285654,1,39,1,323
5294.84925053533,1844.65438972163,4,43,3,310
5416.47706781654,1104.87416699334,6,58,15,494
5417.14793356508,1519.03939745075,5,74,4,313
5431.41712087207,1382.28695094582,7,108,40,593
5437.81767180926,1653.70640486209,1,48,3,197
5498.45340268747,1731.7758994365,0,45,7,181
5521.56970556935,1235.44164597375,7,86,25,668
5681.16280653951,1764.38044959128,5,27,11,295
5740.41756882153,1484.42684812867,10,14,21,325
5772.00218579235,1602.74644808743,8,51,16,356
5795.11601423488,1209.77508896797,7,110,9,664
5885.61972437554,982.232558139535,1,60,12,508
5980.94351382937,1550.45539540319,4,15,15,261
6561.18171514923,1808.63543634303,0,16,7,270
6708.96262995223,1739.99606631076,6,27,31,179
6884.19065474474,1058.45918661667,4,84,38,487
6917.99394957983,1824.66453781513,1,18,15,325
6998.66845078799,1702.65506987808,3,5,36,215
7110.73691215617,1610.71561668146,7,28,1,226
7098.67676030646,1221.39802991609,9,93,10,609
7203.05521472393,1120.23269062226,2,73,7,509
7225.88752122241,1509.29753820034,3,48,1,318
7339.44897293772,1259.64949462015,1,44,21,346
7399.00862506342,1514.45814307458,1,36,1,184
7554.87463798097,1290.01489449731,4,58,6,240
7588.37655279503,1740.63858695652,10,19,5,139
7592.95929945733,1455.28194375925,9,26,30,209
8325.47307692308,1002.17087912088,4,17,27,263
8999.16130580893,1036.99807969275,4,51,36,587
9062.90538194445,1540.20659722222,2,44,8,179
9433.66091593476,1521.83688833124,5,27,20,206
9518.50507536143,1352.70439864657,7,42,21,308
9538.38738404453,1209.38552875696,7,53,10,334
9568.86542145594,1762.73227969349,3,40,4,262
9643.01710376283,992.649942987457,2,17,12,156
9656.80534022395,1173.15590008613,3,55,3,248
9826.70921501706,1783.64345847554,6,15,28,338
9917.26488592098,1645.86366165832,0,29,7,236
10109.8548488665,1316.06013853904,6,41,22,417
10266.8415809769,1103.16709511568,14,81,29,327
10400.3062513155,1417.33382445801,5,71,50,321
10581.7301844063,1611.26075703656,4,48,28,206
10616.8404950155,1441.18563080096,5,28,28,350
10613.2344139651,1704.7863674148,4,36,12,189
10648.7407035176,960.923115577889,2,21,28,371
10768.3100726239,1139.54720555731,1,52,29,355
10820.2717948718,971.050769230769,5,29,21,320
11222.5077848549,1071.71585279547,14,56,22,304
11345.1959423385,1447.46102509343,3,95,32,409
11502.4121903702,1236.4820484275,0,35,45,335
11573.6156008433,1348.97329585383,9,58,30,519
11712.9301659989,1670.90269032627,4,13,27,128
11728.7913346614,1838.45567729084,11,41,101,714
11737.2652499016,1404.28414010232,2,53,4,308
11851.3387160299,1272.88381252462,4,27,13,378
11867.8792156863,1412.81803921569,3,48,2,321
11920.2200755985,1733.54724905502,4,29,14,255
11979.1349431818,1145.79630681818,6,25,35,480
11983.9905145157,1561.92411612532,2,55,20,270
12180.7509302326,1088.55093023256,1,59,85,458
12317.2873309412,1671.16864476953,4,28,24,325
12493.3659166359,1565.76761342678,2,45,22,215
12497.53546818,1731.461289015,4,38,16,145
12520.1264755481,1124.9904440697,2,94,42,596
12667.7936117936,1512.10892710893,1,20,10,222
12693.8258405742,1679.56365697015,0,52,13,341
12807.8011182109,1778.90974440895,4,44,0,321
12962.6181904311,1281.62813832307,9,37,11,250
13168.3821122369,1653.81274356976,6,20,36,213
13254.2846104314,1232.62395363812,4,51,110,593
13327.7078207381,1819.95166959578,9,73,46,522
13456.1307014182,1372.17171330012,11,50,20,358
13613.1940615058,1637.49331919406,10,71,113,531
13632.9098273289,1252.29375399702,3,86,16,821
13638.6067564584,1036.40141311548,0,31,8,628
13710.8696820421,1493.21630094044,10,47,12,316
13802.1375976199,1758.76273707698,2,35,10,257
13839.4804447853,1262.58205521472,1,50,30,442
