cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,WNT5A,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,FOSL1,VEGFC,AXL,MITF,LOXL2,RUNX2,FGFR1,JUN,VGF,cluster
1867,3012.37230340988,14775.0003479471,2,0,0,321,1,1,0,68,0,13,0,2,14,1,14,0,5,0,0,noCluster
1870,14198.9405652535,13971.1047381546,24,70,5,123,7,10,4,10,15,7,0,5,13,10,41,0,25,0,0,noCluster
1871,15022.1890598291,14325.3972649573,9,81,1,41,4,1,1,8,3,3,0,1,3,2,66,0,6,0,0,noCluster
1873,19016.6516580469,14574.4143595984,3,79,3,44,1,8,0,25,1,1,0,2,2,2,45,0,5,0,0,noCluster
1874,19649.8310066128,14794.5606171932,7,82,2,85,4,1,1,3,1,0,0,1,6,4,33,0,4,0,0,noCluster
1875,19662.3978240303,14567.126064333,4,76,2,82,2,1,1,15,0,0,0,3,0,2,31,0,3,0,0,noCluster
1876,20076.8484312859,13996.3490941228,7,120,1,91,3,4,0,44,5,12,1,2,4,17,72,0,5,0,0,noCluster
1877,20360.0312978161,14283.7194324663,6,103,6,92,9,16,1,54,1,1,0,0,14,10,38,0,12,0,0,noCluster
1880,27396.7955192034,14784.7083926031,4,55,0,48,3,1,1,9,7,7,0,0,8,2,56,0,11,0,0,noCluster
1881,32899.0174799709,14536.4901675164,0,87,0,83,2,0,1,9,2,0,0,0,2,2,24,0,7,0,0,noCluster
1882,33191.3902532617,14466.7056792018,0,76,0,54,4,1,0,10,1,1,0,0,0,1,4,0,3,0,0,noCluster
1883,33529.9499623777,14741.305116629,0,31,0,27,1,0,1,0,1,0,0,0,1,0,4,0,2,0,0,noCluster
1884,33721.438752784,14100.6985894581,0,48,0,59,0,0,0,7,0,1,0,2,1,3,16,0,3,0,0,cluster4
1885,33856.2838412473,14699.7983699504,0,81,0,90,0,1,0,1,0,0,0,1,0,4,6,0,0,0,0,noCluster
1886,34182.1434409481,14321.5905190029,0,63,6,44,0,0,4,3,0,0,0,0,0,1,6,0,1,0,0,noCluster
1887,34296.1279494849,14379.4636091725,0,71,0,42,0,0,1,0,1,0,0,0,0,2,4,0,1,0,0,noCluster
1888,36184.5165801039,14004.5745105873,4,45,0,231,5,0,0,0,2,1,0,0,1,0,6,0,3,0,0,noCluster
1897,1776.61749835129,14889.0606726753,10,17,2,280,0,0,1,1,1,2,0,1,8,2,3,0,1,0,0,noCluster
1903,6105.79832572298,15666.5399543379,3,92,0,59,1,0,1,18,9,8,0,0,6,10,23,0,14,0,0,noCluster
1904,6456.62248062016,15645.0310077519,2,77,0,73,3,6,0,47,1,2,0,0,1,4,7,0,2,0,0,noCluster
1910,8601.31016949153,15414.7692090395,4,66,2,103,2,2,0,6,0,1,0,1,0,7,10,0,3,0,0,noCluster
1911,9183.81559835807,15604.9137985475,13,81,7,94,4,5,0,29,2,0,0,1,1,0,7,0,0,0,0,noCluster
1913,16258.4772191673,15255.8813825609,5,48,8,60,0,8,0,9,1,2,0,7,3,8,54,0,32,0,0,noCluster
1914,18992.6299093656,15575.1203927492,20,196,12,212,12,15,1,28,1,2,0,1,3,18,26,0,14,0,0,noCluster
1915,22965.1111247243,15174.7219431512,1,207,1,134,2,1,2,6,1,1,0,0,0,15,18,0,3,0,0,noCluster
1916,24048.5472243021,15059.4384426142,6,80,2,42,2,1,0,3,1,0,0,0,0,0,1,0,0,0,0,noCluster
1917,24121.6688538036,15171.2230879639,0,25,0,7,0,0,0,1,1,0,0,0,0,6,3,0,1,0,0,noCluster
1918,25145.3708248125,15101.8432174506,0,49,0,38,0,0,0,2,1,0,0,0,0,6,28,0,0,0,0,noCluster
1919,25287.2446018893,15326.3033063428,6,74,0,92,6,3,0,16,2,2,0,1,2,6,37,0,6,0,0,noCluster
1920,25273.7891543421,15662.4008342814,0,51,0,90,0,0,0,6,0,0,0,0,0,3,16,0,3,0,0,noCluster
1921,26280.1019637462,15080.4762084592,1,36,0,43,2,1,2,1,5,5,0,4,9,9,43,0,8,0,0,noCluster
1922,26411.4544753086,15065.2075617284,2,58,0,60,2,0,1,3,1,1,0,0,0,2,64,0,2,0,0,noCluster
1923,27601.4281897128,14936.5480961924,0,68,0,48,2,2,0,12,0,2,0,0,0,3,38,0,1,0,0,noCluster
1924,30951.3198677929,15607.4307748806,0,70,0,43,0,2,1,10,0,0,0,1,0,3,24,0,3,0,0,noCluster
1925,31304.6443758573,15630.0716735254,0,65,0,35,1,6,0,39,1,3,0,3,0,1,25,0,0,0,0,noCluster
1926,31558.4019921736,14969.770188545,0,35,0,20,0,1,0,7,0,0,0,4,0,0,3,1,0,0,0,noCluster
1927,32316.1717663421,15467.1164812239,0,30,0,22,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,noCluster
1928,33567.9140065147,14860.7830618893,1,71,2,43,1,0,1,4,1,0,0,2,1,2,6,0,1,0,0,noCluster
1929,34845.5785332959,15096.9693734195,2,157,0,71,0,2,0,6,0,2,0,0,1,7,12,0,0,0,0,noCluster
1930,36279.7028901734,15585.1799614644,2,39,0,35,1,0,0,1,0,0,0,0,0,1,2,0,4,0,0,noCluster
1931,37664.4755954705,15235.1620460758,0,62,0,76,0,0,1,6,1,1,0,1,1,0,6,0,10,0,0,noCluster
1932,37745.3122648608,15523.0895410083,1,76,0,57,0,1,0,8,0,0,0,1,0,3,3,0,3,0,0,noCluster
1946,2182.95142955563,16236.0551153979,8,98,0,75,4,1,2,32,10,1,0,3,10,2,33,0,10,0,0,noCluster
