cellID,Xpos,Ypos,EGFR,SOX10,CCNA2,GAPDH,CYR61,PDGFRB,PDGFC,SERPINE1,NGFR,NRG1,WNT5A,VEGFC,AXL,EPHA2,LOXL2,RUNX2,FGFR1,JUN,VGF
1566,15911.7617567042,8511.17489312087,1,241,3,293,6,1,0,3,20,8,0,0,0,0,0,0,14,3,6
1573,18419.7861702128,9096.37606382979,1,235,2,385,23,1,1,1,6,12,4,4,0,0,0,0,14,4,12
1585,21227.2160212604,8931.73690205011,1,160,26,337,112,4,0,0,23,24,4,1,50,67,20,1,34,19,6
1599,25122.1665046971,9179.07612568837,0,178,3,262,6,0,0,0,11,1,1,0,13,26,4,0,14,5,3
1600,25503.3212669683,8726.93284115265,1,263,0,400,21,5,0,4,34,2,1,2,10,32,16,4,9,13,3
1601,25647.4585691188,8758.77546483428,0,358,1,465,13,1,0,1,49,8,1,0,27,14,30,1,21,7,2
1602,26186.3328808958,8510.43841194435,0,147,2,291,58,0,0,1,23,25,0,0,30,48,31,2,12,5,3
1603,26203.529873677,8757.15739160123,0,104,1,310,181,0,0,2,53,94,1,0,49,45,28,0,21,36,7
1604,26332.2245499182,8821.49950900164,0,97,1,195,57,1,0,1,28,34,1,2,47,32,21,0,22,2,2
1605,26449.884095064,8765.7831809872,0,72,0,170,93,1,0,0,34,23,0,1,58,19,23,1,26,7,4
1606,26462.4550724638,8549.61283643892,0,51,21,296,316,1,0,1,51,43,0,0,67,43,40,0,17,18,1
1607,26517.8033996151,8453.01828094933,0,35,31,216,370,0,0,2,75,36,2,0,52,66,28,1,29,31,4
1608,26803.9722898904,8524.51796589525,0,56,35,210,166,1,0,1,26,20,2,3,58,35,28,4,10,13,6
1609,27148.0431192661,8663.12064220183,0,50,1,156,1,1,0,2,1,2,0,0,11,3,2,2,3,1,3
1610,27224.5802409639,8646.50265060241,0,41,15,193,3,0,0,0,0,0,0,0,22,2,8,0,14,4,14
1611,27250.1157331137,8756.29612850082,0,59,9,223,6,0,0,0,3,1,0,1,18,0,8,1,9,7,12
1612,27279.1070422535,9069.02018779343,1,62,1,122,6,0,0,1,1,1,0,1,4,4,12,2,8,2,0
1613,27680.3704888077,9128.11649154865,2,61,2,154,8,0,1,2,4,1,1,1,23,20,8,1,12,2,3
1614,27808.1322975518,8554.41807909605,0,131,6,208,4,0,0,0,4,1,0,1,15,23,10,0,5,1,0
