Xpos,Ypos,EGFR,PDGFRB,FOSL1,GAPDH
11551.2878787879,743.988038277512,80,1,4,452
11627.3943476832,632.891554387118,120,6,18,536
11640.0160287864,924.222113182859,68,3,25,777
11644.9584942085,462.804054054054,70,10,22,389
11673.7162666667,800.938133333333,97,4,18,315
11751.9027334043,431.116080937167,105,22,14,907
11755.3448922212,624.179943767573,54,1,29,298
11759.3075095057,745.944866920152,93,1,18,297
11806.6613801972,904.048864123446,57,1,13,413
11884.7199063232,787.267447306792,79,4,15,378
11904.787327478,584.972396486826,59,3,11,459
11990.6014035088,700.17052631579,47,3,3,386
12013.5513157895,359.824013157895,119,4,23,862
12008.7373257288,883.910012674271,122,1,13,578
12104.0703144976,627.721810278701,97,0,5,368
12124.6127027027,783.341081081081,97,1,7,427
