Xpos,Ypos,TXNRD1,EGFR,LOXL2,GAPDH
18265.9286536249,1617.33275795934,98,45,151,632
18410.0106782677,1752.99031046075,172,9,96,738
18704.5816797416,1082.62021227503,94,14,21,449
18802.7363377363,1025.91582491582,89,27,24,540
20074.2188496189,1445.90062370062,212,103,260,860
20163.548509157,1326.99788103527,301,101,291,1006
20403.9828001376,1760.78345373237,26,11,9,124
20545.1357794748,1758.96088657106,89,28,67,226
20965.4205075091,1644.98291040911,76,12,60,442
21045.6225880687,1703.50079660117,128,25,114,388
22847.5756991321,1438.51607200257,221,50,71,663
24112.5747053872,1846.13404882155,8,3,3,19
24084.5462962963,1821.21825396825,52,4,14,81
24132.5321143929,1863.44913267698,137,2,51,362
24398.2498146775,1673.86879169755,115,13,49,386
24551.5028075549,1267.54364471669,652,48,260,1148
24925.1839975569,1275.14780882577,610,101,320,1321
25285.8962722853,1329.88582748064,951,85,302,1489
25305.9810017271,1840.36683937824,272,21,36,593
25462.3555088702,1571.15009337068,121,9,77,426
25534.3887670031,1394.91421676174,163,19,162,735
28348.6936078007,1890.00606717226,57,45,65,664
30442.3569934641,2260.97006535948,71,16,76,333
32174.6167751265,1704.01952277657,255,17,145,505
32227.0626717258,1477.67120240743,335,93,428,921
32240.9511686144,1681.41736227045,187,15,107,383
32611.3717706364,1599.52783028775,169,15,22,635
32679.8368851003,1357.7649618185,649,59,404,1727
33190.4241512677,1744.25626701046,54,46,129,643
33248.4435434827,1268.51652138658,71,16,91,655
33443.606054943,1518.8783404971,138,17,44,499
33580.4194677871,1557.69537815126,128,38,89,625
33664.5071347032,1168.58133561644,162,29,153,830
33751.9307167644,1036.86251047026,344,98,280,1092
33744.850533049,1441.61279317697,62,27,131,759
33746.4144347336,1203.42345644206,86,22,68,484
33879.3509320505,1398.75562236921,147,81,381,1172
33966.2507211005,1064.10184157976,206,52,146,873
34284.9695447814,1028.02427403258,653,46,82,1988
34683.3756383298,1454.84755181736,72,34,99,672
34815.0035643564,1244.76910891089,359,32,130,955
34853.2399256045,1594.4356271957,166,67,225,1236
34912.1059414226,1662.55464435146,116,40,78,893
35688.6934548467,1867.41963545982,280,17,36,687
36078.3601445396,1599.79684154176,494,39,94,1020
36476.1421638595,1811.33713959463,274,19,34,682
36801.0223719677,1855.674393531,220,18,38,480
36970.5836604973,1800.08151056272,358,14,60,555
226.589199169167,2241.42303254096,329,19,102,782
343.303859964093,2092.55767504488,255,14,119,768
410.219774011299,1990.11271186441,288,10,139,725
1383.75374401729,3166.70804384746,223,102,142,324
2010.78578421774,2762.80477775602,55,20,9,166
2217.70634146341,2282.21024390244,51,22,47,362
2349.95972965362,2286.45339341031,84,19,74,554
4082.85757992963,2366.40247820101,547,17,136,594
4155.41452258433,2270.42290832857,770,24,234,867
4879.78575587037,2351.19580826703,319,11,47,590
