Xpos,Ypos,WNT5A,NRG1,GAPDH
24099.1999292286,2252.95010615711,0,0,64
24071.350533049,1246.48400852878,0,0,59
24098.2819239315,1551.53247941446,0,0,205
24093.3128295255,1932.45284124194,0,0,18
24253.8003050569,2237.25014666197,0,1,190
24133.599483945,1425.13790137615,0,0,154
24180.615394913,1102.18888888889,0,0,157
24179.1316602317,1833.62162162162,0,0,131
24239.7956989247,1699.94870967742,0,0,150
24293.5524592269,1487.06536535251,0,0,307
24398.637439423,2061.67406739547,0,1,190
24329.7963461538,1749.91423076923,0,0,93
24352.6844444444,1156.76777777778,0,0,62
24474.9941875265,1336.62668646585,0,0,230
24381.5006868132,1026.59855769231,0,0,76
24428.1127132413,1188.31478472786,0,0,56
24399.8554443054,1687.89549436796,0,0,70
24443.8057142857,961.464489795918,0,1,71
24461.4453800133,1593.81276312874,0,2,186
24517.2704772475,1716.86015538291,0,1,113
24495.2266505636,1036.5692431562,0,0,67
24528.3026172301,969.091603053435,0,0,49
24528.9622272875,1489.81015955715,0,1,234
24539.981750117,1094.1970051474,0,0,78
24557.7847790507,1578.2555919258,0,0,248
24641.8364917776,1962.24064212999,0,0,326
24652.0152468538,1818.63939980639,0,0,185
24763.8101349702,1441.37887559725,0,2,477
24635.3714908035,1066.93828654405,0,2,88
24747.3625441696,1120.30017667845,0,0,5
24835.790190508,1787.13836898396,0,1,166
24779.4342971087,1703.21036889332,0,0,292
24846.5914536741,1277.67212460064,0,0,71
24911.4296828247,1321.09395571514,0,1,151
25142.6291051381,1620.23277588857,0,0,182
25075.2035076109,1289.79980145599,0,0,30
24994.4702616971,1078.43774781919,0,0,22
24979.2336936265,1803.70480805069,0,0,56
25036.5204081633,1711.48852040816,0,0,191
25033.081898362,1164.36161276774,0,0,17
25096.0430662314,1407.10961356218,0,0,141
25033.4001501502,1866.68093093093,0,0,144
25096.7160310996,1076.75564605702,0,2,10
25180.9484083425,2040.64384791937,0,0,140
25161.2562677694,1813.61449987077,0,0,114
25151.2784407319,1928.7923627685,0,0,67
25169.6650657757,1173.52620588849,0,0,28
25209.935884525,1059.5233299765,0,0,5
25455.8410021084,1408.76333250651,0,0,152
25243.5427054478,1506.55609418283,0,0,183
25222.5027279813,951.554169914263,0,0,24
25339.1957893012,1159.53723273532,0,0,9
25285.3131170663,1242.76953455571,0,0,97
25281.1882193636,980.957345971564,0,0,1
25333.5597574028,1566.32964680699,0,0,193
25362.8041753653,965.965762004175,0,0,10
25407.8371222252,1094.98796469644,0,0,17
25401.2932523185,1281.08954269268,0,0,106
25448.3228379513,1800.35894206549,0,0,118
25438.3455149502,1333.0073089701,0,0,38
25470.8572399728,1027.92318150918,0,0,4
25501.2406406406,1636.56096096096,0,0,157
25551.1472715319,1154.96482577252,0,0,12
25535.4451772465,1912.75906842539,0,0,291
25549.6992782678,1045.0040096231,0,0,2
25738.4699234802,1761.24812243163,0,0,206
25583.6417664053,1521.40817168799,0,0,133
25634.3362155485,1983.92241179649,0,1,488
25625.7408656549,1273.78189994379,0,0,36
25778.9216695826,1466.51399650087,0,0,239
25669.8636363636,1090.4263322884,0,0,11
25788.9926167875,2087.87390697833,0,2,258
25752.4780885781,1155.64941724942,0,0,26
25851.5786188061,1172.04460918195,0,0,63
25896.5330756014,1821.31701030928,0,0,302
26120.745721393,1309.97268656716,0,0,238
25943.0878618588,1408.80091416963,0,0,367
26081.0482991919,2034.21748731441,0,2,268
25995.1774906494,1183.17426045563,0,0,323
25980.332968503,1533.65462726499,0,0,588
26175.8614556561,1736.23995232242,0,0,1081
25977.907874421,1034.87030365414,0,0,282
26083.2865120275,1292.30756013746,0,0,231
26032.5923271501,1665.7892074199,0,0,557
26037.4528052805,1032.75511551155,0,0,122
26054.7460484721,961.209694415174,0,0,165
26106.2868022501,1518.6361748161,0,0,710
26083.4219653179,1060.91453344344,0,0,128
26259.2371736803,1051.68640368937,0,0,144
26208.6924636702,1351.17641094965,0,0,292
26244.0295857988,1215.62914545204,0,0,356
26374.9991063982,1975.78401644227,0,2,967
26395.9620391533,1105.68677332803,0,0,120
26412.5422766996,1332.6505504483,0,0,259
26439.0449362086,1221.00756463814,0,0,309
26491.7207242669,1450.61090336548,0,0,273
26567.114975054,2167.16412242162,0,0,300
26499.8977176669,1626.29754860524,0,1,1094
26834.8443521186,1708.84487326105,0,0,437
26621.9841638415,1083.58626294525,0,0,178
26560.4118271955,1374.6802407932,0,0,150
26768.0352476451,1328.36236874979,0,0,293
26634.0572455752,1474.72068584071,0,0,312
26729.4495279593,1521.00435729848,0,0,503
26757.2872928177,1906.65089779006,0,0,535
26757.828391401,1105.65011119348,0,0,198
26839.8098847787,1150.87795633717,0,0,24
26946.5004108463,2098.5160230074,0,0,142
26897.933230498,1517.92816218599,0,0,56
26919.5745780227,1355.35928349983,0,0,13
26935.2336371168,957.671913835957,0,1,18
26953.0809555408,1140.51493032515,0,1,66
26957.76875,1075.38080357143,0,0,17
26994.2769443348,1999.56158705093,0,0,44
26971.439515341,1801.13836232167,0,0,146
26964.0578345662,1415.53665097512,0,6,26
26988.2607287449,997.120647773279,0,0,11
27116.361134106,1348.30022075055,0,1,63
27035.8816425121,1902.75362318841,0,0,67
27096.9226190476,1179.77522675737,0,1,12
27104.9839541908,1734.60577649132,0,6,109
27064.8927899687,1097.76614420063,0,1,60
