Xpos,Ypos,NGFR,AXL,LOXL2,GAPDH
8049.71261812118,32.1256253474152,0,0,0,317
8103.67426470588,91.1463235294118,0,1,0,482
8242.36140350877,79.5398245614035,0,1,0,736
8370.59935379645,150.682148626817,0,0,0,166
8665.56946645536,131.562599049128,0,0,0,143
8365.59132720105,148.32950065703,0,0,0,374
8413.50245398773,392.520858895706,0,0,0,177
8443.38727390181,225.199935400517,0,0,0,265
8550.66296728972,85.419976635514,0,0,0,589
8600.05743602578,406.499718450854,0,1,0,778
8555.13068886134,891.030635735789,0,0,0,262
8585.23141547861,189.967922606925,0,0,0,376
8593.51134717528,796.909222597779,0,0,0,95
8605.12747875354,646.35269121813,0,0,0,59
8667.00513478819,122.892597347026,0,0,0,207
8660.28368263473,707.608532934132,0,0,0,107
8696.15611213889,582.18158531379,0,0,0,481
8685.43533782215,876.407708381704,0,0,0,134
8700.12018489985,227.412557781202,0,0,0,308
8739.2068250898,943.706548770379,0,0,0,208
8725.81444509689,42.4415736934821,0,0,0,355
8757.83494769469,342.174544750097,0,0,0,347
8825.22304135949,714.970136198925,0,2,0,418
8781.16065350579,104.17835262083,0,1,0,328
8794.23742525501,586.232852620471,0,0,0,232
8801.48834196891,437.62079015544,0,0,0,289
8829.13134851138,256.314798598949,0,0,0,179
8842.91476826394,811.330714846819,0,0,0,198
8849.2630834512,519.119519094767,0,1,0,198
8864.63007518797,445.998496240602,0,1,0,249
8910.59586819191,886.59825849411,0,0,0,277
8916.42123214666,578.347687060328,0,1,0,356
8909.25736040609,263.937563451777,0,0,0,178
8919.27423981641,41.2771084337349,0,0,0,373
8935.69609438568,156.380390561432,0,0,0,252
8939.64338919925,331.875232774674,0,0,0,244
8967.76892543238,717.40856251772,0,0,0,232
9032.56980392157,415.510588235294,0,1,0,360
9000.19319668556,224.918883558657,0,0,0,177
9025.17892298784,543.15257672264,0,0,0,318
9034.54473554128,70.8937221947603,0,0,0,382
9041.64196710417,742.299717561057,0,0,0,360
9094.73114630468,493.186274509804,0,0,0,221
9138.12255772646,586.122912966252,0,1,0,263
9133.17447399762,839.615720524017,0,1,0,219
9154.54097902098,123.809230769231,0,0,0,477
9165.31929824561,333.879197994987,0,5,0,414
9189.00417785736,724.574156968069,0,0,0,345
9213.12135306554,457.189429175476,0,0,0,301
9204.13584609344,213.745583038869,0,2,0,234
9388.3174118058,812.483932937478,0,0,0,123
9323.37430786268,620.574750830565,0,0,0,109
9511.77661984594,552.857725419121,0,0,0,82
9548.5101611773,291.456201822004,0,0,0,48
9317.35990990991,111.751801801802,0,0,0,105
9371.60347551343,280.327962085308,0,0,0,67
9404.73741794311,488.418672501823,0,0,0,68
9438.38930013459,347.999663526245,0,0,0,37
9514.06596570284,736.182000250344,0,0,0,105
9637.58744778298,564.047662187327,0,0,0,231
9515.21725239617,179.710063897764,0,0,0,98
9592.94270435447,345.392447888246,0,0,0,73
