Xpos,Ypos,APCDD1,EGFR,MAP1B,GAPDH
5577.28315010097,1262.30199685887,27,42,16,1333
5637.62019898195,1016.57149467839,35,42,14,1123
5704.36057454185,1704.22436849926,3,3,1,87
5795.853359755,1169.16393442623,10,36,3,857
5834.85032760033,1412.20526208026,2,25,4,865
6206.91804707934,1794.03356582389,7,24,5,455
6343.80868744098,1477.54542020774,13,51,12,866
6492.86263565891,1157.34778294574,24,71,17,2561
6598.80221576462,1648.36469306211,7,34,0,471
6639.12255834054,1420.3592048401,51,52,16,1093
6917.3144229521,1367.91626638972,16,54,44,1783
6901.74899030695,1853.63792407108,28,39,6,749
7015.16516998076,1656.31670942912,22,66,7,920
7196.46480358555,1372.83390456103,16,63,12,1884
7222.42988757027,1051.83666458463,15,34,4,1590
7453.92514159074,1842.67446441763,8,24,6,346
7815.53283302064,1685.60037523452,1,19,1,289
8875.98507776377,1020.31147540984,14,49,3,678
9308.13276784068,1405.36234556519,9,41,12,806
9495.25406346749,1810.00619195046,6,25,1,404
9643.85660526837,1625.57971875619,14,43,1,592
10070.1016878516,1878.23400708481,7,47,7,758
10265.9500764137,994.740703005604,11,18,11,1084
10319.0703883495,1055.47977346278,5,67,0,1481
10473.2003484321,966.965903434545,2,37,0,189
10542.6976611523,1018.17284654877,1,41,4,933
11248.4606571552,1539.40985732815,5,4,7,508
11327.9227388388,1000.00670830442,9,32,1,551
12257.0313263719,1053.7218395912,18,28,11,552
12502.0271091376,1027.06660434681,24,18,3,520
12624.4115323855,1054.77672459189,15,20,3,512
12701.9611829945,1552.51774491682,49,78,6,1262
12818.7440559441,1592.66193806194,37,51,19,854
13034.0090932377,1138.12640881148,11,7,16,972
13741.3617436565,1900.66997397528,44,5,0,382
13785.855022437,1255.72609596134,17,9,1,435
13856.0347312027,1116.07888416774,13,22,0,464
16624.1451266638,1356.77522541863,3,92,5,595
16647.4374700527,1108.38116914231,7,46,10,744
17213.8936920005,1081.37648302596,79,43,29,1701
17681.678442682,1194.90122566691,0,0,0,16
18037.191477432,2243.93944491169,1,3,7,241
19253.6856181367,1427.28303223521,44,102,9,573
19498.2902742074,1296.9470865467,12,38,4,438
19566.7468403655,1683.12385767062,3,64,2,516
19803.7892625143,1288.70003821169,70,58,9,1035
19862.2216278181,1454.33511654566,13,98,7,805
21284.4844653953,1081.53546175273,39,32,6,930
21330.2024539877,1786.63330411919,8,20,5,291
21386.7513455328,1189.45425188375,10,10,11,475
21718.1391206313,1793.41533258174,12,20,6,618
