Xpos,Ypos,APCDD1,EGFR,MAP1B,GAPDH
21760.5101047508,1820.63189080521,139,22,8,1515
21880.8556347683,1246.35865094598,154,32,9,1288
21968.9277777778,1645.13412698413,57,23,13,846
22102.7081115606,1663.64338939749,40,28,12,611
22254.0323430257,1285.1413822166,122,36,18,1707
22620.8865008452,1277.46075827095,100,70,11,1505
22754.1559392988,1824.26530612245,26,34,8,243
23046.9404024768,1249.51354489164,73,21,11,489
23450.0778928411,1783.74065736155,111,28,8,611
23693.1538265955,1055.70887363336,191,44,26,1427
24462.7640745954,1360.29169598874,197,37,12,1027
24809.0785616125,1599.70361887311,51,28,5,613
25558.8271214993,1379.28616550853,0,15,8,763
25694.7720909228,1716.28270359777,9,142,3,1139
25719.7843110223,1573.35513889846,0,99,1,1058
25841.3514412417,1080.14900221729,13,40,19,918
26076.3789499271,1015.58142926592,88,73,3,619
26156.1959183673,1080.09260204082,165,73,7,1071
26386.940665155,1376.77021919879,122,34,15,1137
26598.6396570796,1876.3689159292,79,26,7,707
26700.4791435954,1356.91620524179,124,65,23,1003
27291.0298932384,1595.90106761566,32,29,6,898
27320.5119363395,1259.82717812691,149,41,11,1264
27484.42578125,1232.61041666667,124,19,9,930
27713.8083599817,1026.39744175423,78,48,18,1224
28324.5282013323,1607.47446336047,238,36,22,981
28543.6904,1034.78106666667,97,13,12,825
28608.7596638655,1538.70636254502,70,20,34,685
28822.4975761101,1798.42718634865,0,4,2,80
28785.8301369863,1798.56757990868,13,17,9,268
28862.1296692447,1154.39707092315,76,19,4,634
28837.5609114812,1279.21165644172,59,14,2,663
28850.3359834082,1798.39923954373,17,21,9,206
29132.5154494382,1809.1,23,73,5,374
29374.8430261212,1488.09167077378,110,38,11,822
32450.8232789212,1219.52235628105,60,18,35,821
32612.9505059393,1342.70193576771,108,15,28,941
32955.6084606028,1609.62846330585,150,32,8,656
33485.9245724309,1035.5221458851,3,26,33,1949
33577.2011486918,1277.3623484365,12,105,25,1730
33734.5077927548,1036.01748104465,122,57,21,1301
34045.3767918089,1299.06894197952,69,34,9,742
34256.5006372674,1285.48687229161,140,38,5,628
35780.0190369541,1697.81998880179,33,35,8,567
35780.5020030045,1535.67426139209,98,20,16,597
35821.9574394464,1795.70761245675,71,14,2,298
35983.0995646836,1416.8047773189,231,63,42,1142
36154.5768770565,1629.66751420879,52,92,21,668
36320.4413453651,1892.63084495488,6,12,0,300
37012.231018819,1849.75632706035,10,10,7,412
441.929355097672,2060.8702167514,169,30,45,333
900.840794544916,2463.86117699377,166,140,15,387
1999.93526989936,2500.44075937786,21,5,0,67
1963.00803212851,2474.57831325301,83,6,3,319
2029.211750306,2520.97184822521,63,6,3,212
2089.03244746601,2791.4456118665,98,15,1,314
2152.6094924812,2397.31203007519,128,41,4,500
3088.96385902031,2393.32735961768,48,47,9,885
3588.90776554597,2311.37726867004,101,20,19,492
3807.59733036707,2463.2673340749,23,8,3,318
6380.30071241095,2471.62654668166,55,29,20,668
6473.74115942029,2594.20666666667,5,9,9,227
6553.78424015009,2506.72232645403,11,2,6,373
8395.69856599356,2161.14340064384,70,19,17,532
8562.20311442112,2325.6384563304,51,15,14,420
8618.48187444739,2778.38196286472,24,11,3,359
9279.68059424327,2417.24094707521,19,27,2,383
9823.7947646895,1945.33639654692,53,44,18,661
9982.44440637314,2754.42967277711,95,37,29,1619
10247.6289460414,2695.16954109934,102,103,6,1139
10350.7465116279,2016.8276744186,79,56,34,622
10611.2692692693,2559.2992992993,17,13,1,380
10587.4569858713,1921.31208791209,101,61,27,930
10815.1053631757,2051.01309121622,183,37,27,1062
11076.7651035065,2477.54055766793,33,20,9,674
11447.6387681844,2260.04534290572,59,16,5,296
11531.7678310317,2553.325264013,171,36,3,371
11952.5311418685,2261.24625144175,61,12,5,552
12581.5595798624,2314.4038391887,143,23,26,1538
12676.2648533467,2264.53823013287,152,31,15,1147
13770.1593371574,1950.7316762269,9,6,5,204
13947.4586689275,2510.73442136498,15,14,17,344
14004.9418245923,3083.24445423828,10,25,7,172
14249.1638113571,2349.48565928778,68,26,7,660
16349.0901416943,2058.83690081399,228,58,22,1205
16788.9952723147,2192.47163388805,20,40,6,1055
16872.1776834445,2690.96058217101,26,57,10,446
17073.7946058091,2099.72531120332,31,85,43,831
